date,red_fighter,blue_fighter,winner,red_sig_str_percent,blue_sig_str_percent,red_sub_att,blue_sub_att,red_stance,blue_stance,red_total_str_percent,blue_total_str_percent,red_td_percent,blue_td_percent,height_diff,reach_diff,red_age,blue_age,red_sig_strike_defence_percent,blue_sig_strike_defence_percent,red_td_defence_percent,blue_td_defence_percent,red_total_str_average,blue_total_str_average,red_sig_strike_defence_average,blue_sig_strike_defence_average,red_sig_str_average,blue_sig_str_average,red_td_defence_average,blue_td_defence_average,red_td_average,blue_td_average
2023-09-02,Ciryl Gane,Serghei Spivac,W,0.6987179487179487,0.25,0,0,Orthodox,Orthodox,0.7006369426751592,0.25,0.0,0.0,3.0,7.620000000000003,33,29,0.75,0.31,1.0,1.0,0.6601422242900125,0.5415613048946792,0.646,0.567,0.6394397496187516,0.4677946913471551,0.82,0.925,0.1476190476190476,0.4428571428571429
2023-09-02,Manon Fiorot,Rose Namajunas,W,0.2577777777777778,0.4,0,0,Orthodox,Orthodox,0.2672413793103448,0.3947368421052631,0.0,0.0,5.0,0.0,34,31,0.6,0.75,1.0,1.0,0.4850947375435812,0.45337303694355613,0.726,0.5915384615384615,0.4623799637419532,0.43431922397730854,0.95,0.7561538461538462,0.6666666666666667,0.49743589743589745
2023-09-02,Benoit Saint Denis,Thiago Moises,W,0.554945054945055,0.3870967741935484,0,1,Southpaw,Orthodox,0.5857142857142857,0.4029850746268656,0.5555555555555556,0.3333333333333333,5.0,7.620000000000003,28,28,0.62,0.4499999999999999,0.6699999999999999,0.4499999999999999,0.6719514348465497,0.47825209733207974,0.38249999999999995,0.537,0.5683769420709719,0.4338361505477554,0.9175,0.8009999999999999,0.5071428571428571,0.29047619047619044
2023-09-02,Volkan Oezdemir,Bogdan Guskov,W,0.5652173913043478,0.32,1,0,Orthodox,Orthodox,0.5625,0.3703703703703703,1.0,0.0,-2.0,-2.539999999999992,34,31,0.6799999999999999,0.4399999999999999,1.0,0.0,0.5673528681985416,,0.5516666666666666,,0.502598843119707,,0.8416666666666667,,0.22023809523809523,
2023-09-02,William Gomis,Yanis Ghemmouri,W,0.5909090909090909,0.3835616438356164,2,0,Southpaw,Orthodox,0.6161616161616161,0.4545454545454545,0.0,0.0,8.0,10.160000000000023,26,29,0.62,0.41,1.0,1.0,0.4636953955135773,,0.76,,0.3994575045207956,,0.8,,0.3,
2023-09-02,Morgan Charriere,Manolo Zecchini,W,0.5306122448979592,0.2195121951219512,0,0,Orthodox,Orthodox,0.5306122448979592,0.2195121951219512,0.0,0.0,0.0,2.539999999999992,28,27,0.79,0.47,1.0,1.0,,,,,,,,,,
2023-09-02,Taylor Lapilus,Caolan Loughran,W,0.5153374233128835,0.3636363636363636,0,0,Southpaw,Orthodox,0.5240963855421686,0.4216867469879518,0.0,0.1818181818181818,0.0,12.700000000000015,31,27,0.64,0.49,0.8200000000000001,1.0,0.5111344249501067,,0.615,,0.44100608295813776,,0.7575000000000001,,0.16666666666666666,
2023-09-02,Ange Loosa,Rhys McKee,W,0.5384615384615384,0.4207650273224044,0,0,Orthodox,Orthodox,0.5636363636363636,0.4545454545454545,0.6,0.0,-10.0,-10.159999999999997,30,28,0.5800000000000001,0.47,1.0,0.4,0.5510436283741369,0.27479338842975204,0.49,0.4099999999999999,0.4833968042878156,0.26956521739130435,1.0,0.25,0.25,0.0
2023-09-02,Nora Cornolle,Joselyne Edwards,W,0.5194805194805194,0.4285714285714285,0,1,Orthodox,Orthodox,0.6343283582089553,0.625,0.0,0.625,-3.0,-7.620000000000003,34,28,0.5800000000000001,0.49,0.38,1.0,,0.6172795294864252,,0.4783333333333333,,0.5497070198981521,,0.6699999999999999,,0.1111111111111111
2023-09-02,Farid Basharat,Kleydson Rodrigues,W,0.6666666666666666,0.875,1,0,Orthodox,Orthodox,0.6944444444444444,0.9615384615384616,0.4,0.0,8.0,10.159999999999997,26,28,0.13,0.3399999999999999,1.0,0.6,0.6608695652173913,0.6314102564102564,0.61,0.6,0.6041666666666666,0.6013986013986015,0.84,1.0,0.5,0.14285714285714285
